item                                                                                                           ,price,level
Konsultacja ortodontyczna                                                                                      ,150
<strong>Przed leczeniem</strong>
Wykonanie modeli diagnostycznych                                                                               ,150
"Analiza zdjęć, plan leczenia"                                                                                 ,200
<strong>Założenie aparatu</strong>
Aparat stały metalowy
tradycyjny                                                                                                     ,1 800,1
samoligaturujący                                                                                               ,2 400,1
Aparat stały ceramiczny                                                                                        ,2 800
Aparat samoligaturujący ceramiczny                                                                             ,3 500
<strong>Wizyta kontrolna</strong>
Wizyta kontrolna z jednym aparatem stałym tradycyjnym                                                          ,200
Wizyta kontrolna z jednym aparatem stałym samoligaturującym lub ceramicznym                                    ,250
Wizyta kontrolna z dwoma aparatami stałymi tradycyjnymi                                                        ,250
Wizyta kontrolna z dwoma aparatami stałymi samoligaturującymi lub ceramicznymi                                 ,300
Wizyta kontrolna z aparatem ruchomym                                                                           ,150
<strong>Zdjęcie aparatu</strong>
Jeden łuk (zdjęcie aparatu + czyszczenie zębów + wykonanie retencji podtrzymującej efekty leczenia + modele 3D),800
Dwa łuki (zdjęcie aparatu + czyszczenie zębów + wykonanie retencji podtrzymującej efekty leczenia + modele 3D) ,1 300
Wykonanie kolejnej retencji (stałej lub ruchomej) na jeden łuk                                                 ,350
Wizyta kontrolna z retencją po zdjęciu aparatu                                                                 ,150
<strong>Aparaty dodatkowe</strong>
Niewidoczny aparat Clear Aligner©
"Analiza przypadku (wyciski, modele 3D, animacje 3D, plan leczenia)"                                           ,500  ,1
Jeden etap (3 szyny) za jeden łuk                                                                              ,1 200
Aparat ruchomy jednoszczękowy                                                                                  ,700
Aparat ruchomy dwuszczękowy-blok                                                                               ,1 000
Trainer – elastyczny aparat gotowy                                                                             ,500
Aparat Haasa rozszerzający szczękę                                                                             ,650
Łuk podniebienny                                                                                               ,300
Twin Block                                                                                                     ,1 000
